ONT_only_chromosome,ONT_only_start,ONT_only_end,ONT_only_strand,ONT_only_gene_id,ONT_only_transcript_id,ONT_only_gene_name,ONT_only_transcript_type,ONT_only_v43_tx_len,ONT_only_v43_exon_count,ONT_only_v43_cds_len,ONT_only_FPKM,ONT_only_testis_1,ONT_only_testis_2,ONT_only_brain,ONT_only_Tx_FPKM,ONT_only_Gene_FPKM,ONT_only_Tx%,ONT_only_Tx_count,ONT_only_Rank,ONT_only_Ref_Tx,ONT_only_MANE_tx,ONT_only_MANE_match,ONT_only_V8_gene_id,ONT_only_V8_transcript_id,ONT_only_V8_gene_id_by_V8Tx
11,111908564,111911770,-,ENSG00000109846,ENST00000650687,CRYAB,protein_coding,774,2,528,,0,0,34.920017,11.64000567,35.482355,32.80505385,21,1,1,ENST00000650687,1,ENSG00000109846,,
11,88315268,88337736,-,ENSG00000109861,ENST00000679199,CTSC,protein_coding,1604,4,405,,0.077394,0,0,0.025798,14.065855,0.183408687,31,2,0,ENST00000227266,0,ENSG00000109861,,
11,126269029,126278110,+,ENSG00000110074,ENST00000685484,FOXRED1,protein_coding,2319,4,1263,,0.144778,0,0,0.048259333,8.802157,0.548267127,37,3,0,ENST00000263578,0,ENSG00000110074,,
11,126355669,126410575,+,ENSG00000110080,ENST00000676545,ST3GAL4,protein_coding,2169,4,795,,0.465529,0.486154,0,0.317227667,25.89630633,1.224991945,26,2,0,ENST00000444328,0,ENSG00000110080,,
11,73342924,73369388,+,ENSG00000110237,ENST00000643371,ARHGEF17,protein_coding,4962,18,3135,,0.702847,0.418442,19.706215,6.942501333,8.679492333,79.98741247,7,1,1,ENST00000263674,0,ENSG00000110237,,
11,35259364,35420024,-,ENSG00000110436,ENST00000643000,SLC1A2,protein_coding,3343,18,1698,,0,0,1.076428,0.358809333,6.942731333,5.168129315,50,2,0,ENST00000278379,0,ENSG00000110436,,
11,35260801,35264143,-,ENSG00000110436,ENST00000645542,SLC1A2,protein_coding_CDS_not_defined,524,2,,,0,0.763468,0,0.254489333,6.942731333,3.665550647,50,3,0,ENST00000278379,0,ENSG00000110436,,
11,35264949,35419167,-,ENSG00000110436,ENST00000643305,SLC1A2,protein_coding,2798,18,1692,,0,0.222823,0,0.074274333,6.942731333,1.06981431,50,4,0,ENST00000278379,0,ENSG00000110436,,
11,67483470,67491101,+,ENSG00000110711,ENST00000683856,AIP,protein_coding,1225,4,816,,2.415298,3.158427,0,1.857908333,14.052097,13.2215735,11,2,0,ENST00000279146,0,ENSG00000110711,,
11,67483068,67491103,+,ENSG00000110711,ENST00000683237,AIP,protein_coding,1186,4,852,,0,0,0.484359,0.161453,14.052097,1.148960187,11,3,0,ENST00000279146,0,ENSG00000110711,,
11,3675010,3797548,-,ENSG00000110713,ENST00000700598,NUP98,protein_coding,6658,4,5352,,0,0,2.879105,0.959701667,23.862356,4.021822768,36,2,0,ENST00000324932,0,ENSG00000110713,,
11,3711553,3753743,-,ENSG00000110713,ENST00000700604,NUP98,protein_coding_CDS_not_defined,2892,4,,,1.688842,0,0,0.562947333,23.862356,2.359143973,36,4,0,ENST00000324932,0,ENSG00000110713,,
12,80944046,80949589,+,ENSG00000111058,ENST00000651903,ACSS3,protein_coding_CDS_not_defined,3533,5,,,1.231315,0.958046,0,0.729787,2.726531333,26.76613289,10,2,0,ENST00000548058,0,ENSG00000111058,,
12,190081,214157,-,ENSG00000111181,ENST00000684302,SLC6A12,protein_coding,3210,4,1845,,0,0,3.048872,1.016290667,1.208491667,84.09579434,17,1,1,ENST00000684302,1,ENSG00000111181,,
12,12696347,12715312,+,ENSG00000111276,ENST00000682080,CDKN1B,protein_coding_CDS_not_defined,2465,4,,,2.303152,3.958569,0,2.087240333,21.46180367,9.725372414,9,2,0,ENST00000228872,0,ENSG00000111276,,
12,12696347,12722369,+,ENSG00000111276,ENST00000682620,CDKN1B,protein_coding_CDS_not_defined,3094,4,,,0.30614,1.189041,0,0.498393667,21.46180367,2.3222357,9,3,0,ENST00000228872,0,ENSG00000111276,,
12,13083532,13103667,-,ENSG00000111305,ENST00000651961,GSG1,protein_coding,2613,5,1089,,0,33.594837,0,11.198279,107.8652703,10.38172803,10,3,0,ENST00000651961,1,ENSG00000111305,,
12,123252242,123261483,-,ENSG00000111328,ENST00000541002,CDK2AP1,protein_coding_CDS_not_defined,1110,5,,,0,0,0.348677,0.116225667,11.700879,0.993307141,12,5,0,ENST00000261692,0,ENSG00000111328,,
12,68294566,68332362,-,ENSG00000111554,ENST00000682720,MDM1,protein_coding,2980,4,2175,,3.301849,4.382909,1.891156,3.191971333,12.22358933,26.11320821,16,2,0,ENST00000682720,1,ENSG00000111554,,
12,6570082,6580726,-,ENSG00000111642,ENST00000647112,CHD4,protein_coding_CDS_not_defined,1564,2,,,2.017819,6.489536,7.437696,5.315017,12.460389,42.65530554,54,1,0,ENST00000544040,0,ENSG00000111642,,
12,6570082,6607582,-,ENSG00000111642,ENST00000645022,CHD4,protein_coding,6673,2,5718,,13.211586,0,0,4.403862,12.460389,35.34289339,54,2,1,ENST00000544040,0,ENSG00000111642,,
12,120461672,120474773,-,ENSG00000111786,ENST00000706469,SRSF9,protein_coding,963,5,567,,0,0,0.940789,0.313596333,106.08959,0.295595763,13,3,0,ENST00000229390,0,ENSG00000111786,,
6,75197506,75206242,-,ENSG00000111799,ENST00000680102,COL12A1,retained_intron,5813,4,,,0,0,0.093522,0.031174,0.707843667,4.404079809,13,2,0,ENST00000322507,0,ENSG00000111799,,
6,116254207,116259240,+,ENSG00000111817,ENST00000647046,DSE,protein_coding_CDS_not_defined,1257,2,,,3.184802,3.028237,0,2.071013,4.133497667,50.10316122,18,1,0,ENST00000644252,0,ENSG00000111817,,
6,116370947,116444007,+,ENSG00000111817,ENST00000644252,DSE,protein_coding,10621,4,2877,,1.685047,1.712614,0.708787,1.368816,4.133497667,33.11519953,18,2,1,ENST00000644252,1,ENSG00000111817,,
6,116280108,116399937,+,ENSG00000111817,ENST00000643175,DSE,protein_coding,1205,18,420,,0.553365,0.639483,0,0.397616,4.133497667,9.619359488,18,3,0,ENST00000644252,0,ENSG00000111817,,
6,116254207,116256743,+,ENSG00000111817,ENST00000448740,DSE,retained_intron,2081,3,,,0.223585,0.398085,0.266488,0.296052667,4.133497667,7.162279758,18,4,0,ENST00000644252,0,ENSG00000111817,,
6,10764196,10838480,-,ENSG00000111837,ENST00000675026,MAK,nonsense_mediated_decay,2668,4,1506,,0,3.337955,0,1.112651667,1.112651667,100,7,1,0,ENST00000354489,0,ENSG00000111837,,
6,25014952,25042170,-,ENSG00000111913,ENST00000606385,RIPOR2,protein_coding_CDS_not_defined,1030,3,,,0.510457,0,0,0.170152333,0.319022,53.33561113,17,1,0,ENST00000643898,0,ENSG00000111913,,
6,24839994,24910885,-,ENSG00000111913,ENST00000647136,RIPOR2,protein_coding,2646,2,1842,,0,0,0.446609,0.148869667,0.319022,46.66438887,17,2,1,ENST00000643898,0,ENSG00000111913,,
6,53001281,53061824,-,ENSG00000112144,ENST00000676107,CILK1,protein_coding,6146,4,1899,,2.225466,3.027118,5.298464,3.517016,3.517016,100,3,1,1,ENST00000676107,1,ENSG00000112144,,
6,89780680,89819743,-,ENSG00000112159,ENST00000700655,MDN1,retained_intron,2498,4,,,1.623009,2.193219,1.920768,1.912332,2.424185333,78.88555275,28,1,0,ENST00000369393,0,ENSG00000112159,,
6,89642775,89648786,-,ENSG00000112159,ENST00000700675,MDN1,retained_intron,5889,4,,,0,0,1.182876,0.394292,2.424185333,16.26492804,28,2,0,ENST00000369393,0,ENSG00000112159,,
6,89729707,89733409,-,ENSG00000112159,ENST00000700653,MDN1,retained_intron,2070,4,,,0,0,0.352684,0.117561333,2.424185333,4.849519206,28,3,0,ENST00000369393,0,ENSG00000112159,,
6,39104063,39115171,-,ENSG00000112167,ENST00000703663,SAYSD1,nonsense_mediated_decay,7357,5,306,,2.672999,0,0,0.890999667,27.79783833,3.205284008,5,3,0,ENST00000229903,0,ENSG00000112167,,
6,136822898,136913909,+,ENSG00000112357,ENST00000678557,PEX7,protein_coding,1707,4,858,,0.778764,0,0,0.259588,10.96779167,2.366821033,7,2,0,ENST00000318471,0,ENSG00000112357,,
6,109691295,109743480,+,ENSG00000112367,ENST00000676435,FIG4,protein_coding,1387,4,1086,,0,0.655289,0,0.218429667,7.675628667,2.845756044,63,2,0,ENST00000230124,0,ENSG00000112367,,
6,165893842,165896237,-,ENSG00000112541,ENST00000672224,PDE10A,retained_intron,2396,2,,,0.403903,0.302996,10.086637,3.597845333,6.391727667,56.28908991,40,1,0,ENST00000539869,0,ENSG00000112541,,
6,165939456,165988039,-,ENSG00000112541,ENST00000455853,PDE10A,protein_coding_CDS_not_defined,1822,5,,,0.419396,0.408322,5.281674,2.036464,6.391727667,31.86093191,40,2,0,ENST00000539869,0,ENSG00000112541,,
6,165901881,165987935,-,ENSG00000112541,ENST00000690869,PDE10A,protein_coding_CDS_not_defined,1374,4,,,0,0,1.922444,0.640814667,6.391727667,10.02568789,40,3,0,ENST00000539869,0,ENSG00000112541,,
6,165893825,165988062,-,ENSG00000112541,ENST00000650248,PDE10A,protein_coding_CDS_not_defined,1135,2,,,0,0.349811,0,0.116603667,6.391727667,1.824290282,40,4,0,ENST00000539869,0,ENSG00000112541,,
6,41683978,41735060,-,ENSG00000112561,ENST00000677531,TFEB,protein_coding,2235,4,1431,,0.280275,0,0.4586,0.246291667,2.092084667,11.77254776,19,2,0,ENST00000373033,0,ENSG00000112561,,
6,41683978,41733828,-,ENSG00000112561,ENST00000678831,TFEB,protein_coding,2239,4,1431,,0,0,0.192245,0.064081667,2.092084667,3.063053216,19,5,0,ENST00000373033,0,ENSG00000112561,,
6,43770211,43786487,+,ENSG00000112715,ENST00000672860,VEGFA,protein_coding,3609,2,1188,,0.274144,0,0,0.091381333,5.877692,1.55471456,26,4,0,ENST00000672860,1,ENSG00000112715,,
5,40909492,40980343,+,ENSG00000112936,ENST00000696441,C7,protein_coding,2903,4,2403,,2.169459,7.338104,0,3.169187667,15.818844,20.03425577,14,2,0,ENST00000313164,0,ENSG00000112936,,
5,40909492,41020216,+,ENSG00000112936,ENST00000706664,C7,protein_coding_CDS_not_defined,2922,3,,,1.614059,0,0,0.538019667,15.818844,3.401131376,14,4,0,ENST00000313164,0,ENSG00000112936,,
5,40909492,40930232,+,ENSG00000112936,ENST00000706665,C7,retained_intron,1772,3,,,0.492807,0.765864,0,0.419557,15.818844,2.65226081,14,5,0,ENST00000313164,0,ENSG00000112936,,
5,72219422,72288930,-,ENSG00000113048,ENST00000694993,MRPS27,protein_coding_CDS_not_defined,2721,4,,,0,5.083301,0,1.694433667,5.902183667,28.70858927,32,2,0,ENST00000261413,0,ENSG00000113048,,
5,160009113,160052548,+,ENSG00000113312,ENST00000682151,TTC1,retained_intron,2208,4,,,0.770994,0,2.492525,1.087839667,29.69380233,3.663524309,20,2,0,ENST00000231238,0,ENSG00000113312,,
5,160009113,160065511,+,ENSG00000113312,ENST00000684137,TTC1,protein_coding,1366,4,699,,0,0.171633,0,0.057211,29.69380233,0.192669835,20,5,0,ENST00000231238,0,ENSG00000113312,,
5,90474864,90514557,+,ENSG00000113356,ENST00000651687,POLR3G,protein_coding,3290,2,672,,2.671465,0,0,0.890488333,0.974349,91.39315926,7,1,1,ENST00000651687,1,ENSG00000113356,,
5,134196964,134226071,-,ENSG00000113575,ENST00000703309,PPP2CA,protein_coding,1726,5,720,,0,0,4.30578,1.43526,49.451662,2.902349369,12,2,0,ENST00000481195,0,ENSG00000113575,,
5,149493360,149551397,-,ENSG00000113712,ENST00000657001,CSNK1A1,protein_coding,4902,3,978,,16.917067,58.305561,65.977043,47.066557,55.54995233,84.72834813,17,1,1,ENST00000377843,0,ENSG00000113712,,
5,172931883,172952533,+,ENSG00000113719,ENST00000688069,ERGIC1,retained_intron,2602,4,,,0,0,1.102385,0.367461667,21.41339267,1.716036652,30,3,0,ENST00000393784,0,ENSG00000113719,,
5,173918201,173956845,+,ENSG00000113742,ENST00000657000,CPEB4,protein_coding,1670,3,888,,4.303497,5.424867,7.92704,5.885134667,5.885134667,100,13,1,1,ENST00000265085,0,ENSG00000113742,,
3,122384176,122394724,+,ENSG00000114023,ENST00000687114,FAM162A,protein_coding_CDS_not_defined,1410,4,,,0.831229,0,1.022452,0.617893667,7.383750333,8.368290351,14,2,0,ENST00000477892,0,ENSG00000114023,,
3,122384182,122412330,+,ENSG00000114023,ENST00000686831,FAM162A,protein_coding,3044,4,195,,0,0.160769,0,0.053589667,7.383750333,0.725778422,14,3,0,ENST00000477892,0,ENSG00000114023,,
3,48748285,48847596,-,ENSG00000114302,ENST00000706574,PRKAR2A,nonsense_mediated_decay,3660,1,1215,,0,4.887981,0,1.629327,8.815864667,18.48176057,17,2,0,ENST00000265563,0,ENSG00000114302,,
3,100709414,100748964,+,ENSG00000114354,ENST00000674645,TFG,protein_coding,1960,4,1191,,10.693976,10.922389,0,7.205455,51.95052067,13.86984174,36,3,0,ENST00000240851,0,ENSG00000114354,,
3,100709440,100748964,+,ENSG00000114354,ENST00000676431,TFG,protein_coding,1793,4,1191,,1.650307,1.26738,0,0.972562333,51.95052067,1.872093524,36,7,0,ENST00000240851,0,ENSG00000114354,,
3,100709440,100748964,+,ENSG00000114354,ENST00000674615,TFG,protein_coding,2037,4,1203,,0,1.839503,0.257104,0.698869,51.95052067,1.345258894,36,8,0,ENST00000240851,0,ENSG00000114354,,
3,100709606,100748964,+,ENSG00000114354,ENST00000676395,TFG,protein_coding,1888,4,1203,,0.549818,0.492366,0.561488,0.534557333,51.95052067,1.028973967,36,9,0,ENST00000240851,0,ENSG00000114354,,
3,100709536,100748964,+,ENSG00000114354,ENST00000675243,TFG,protein_coding,1854,4,1203,,0.287246,0.208635,0,0.165293667,51.95052067,0.318175188,36,10,0,ENST00000240851,0,ENSG00000114354,,
Y,12662334,12692233,+,ENSG00000114374,ENST00000440408,USP9Y,protein_coding_CDS_not_defined,5284,3,,,2.183209,2.310405,8.407844,4.300486,4.300486,100,9,1,0,ENST00000338981,0,ENSG00000114374,,
3,101681091,101686699,-,ENSG00000114391,ENST00000704285,RPL24,retained_intron,812,5,,,0,0,0.235126,0.078375333,25.02679433,0.313165691,11,3,0,ENST00000394077,0,ENSG00000114391,,
3,180912662,180977908,+,ENSG00000114416,ENST00000698794,FXR1,protein_coding,3593,4,1953,,11.67737,0,0,3.892456667,14.00887667,27.78564448,24,2,0,ENST00000357559,0,ENSG00000114416,,
3,105762122,105853646,-,ENSG00000114423,ENST00000643403,CBLB,protein_coding,659,18,396,,0.716508,0,0,0.238836,0.238836,100,17,1,1,ENST00000394030,0,ENSG00000114423,,
3,129001304,129040742,+,ENSG00000114654,ENST00000683648,EFCC1,protein_coding,3019,4,1800,,0,0.251439,1.191733,0.481057333,0.481057333,100,3,1,1,ENST00000683648,1,ENSG00000114654,,
3,39096682,39107608,-,ENSG00000114745,ENST00000695428,GORASP1,protein_coding,2938,4,1317,,0,0,1.503552,0.501184,15.41154567,3.252003471,58,2,0,ENST00000319283,0,ENSG00000114745,,
3,42654505,42667580,+,ENSG00000114853,ENST00000680014,ZBTB47,protein_coding,5498,4,2328,,1.674871,2.021549,10.451877,4.716099,4.716099,100,3,1,1,ENST00000232974,0,ENSG00000114853,,
3,70959204,71064095,-,ENSG00000114861,ENST00000650402,FOXP1,nonsense_mediated_decay,1789,2,1233,,2.089228,0,0,0.696409333,3.746630667,18.58761632,71,2,0,ENST00000649528,0,ENSG00000114861,,
3,71197882,71289713,-,ENSG00000114861,ENST00000648107,FOXP1,protein_coding_CDS_not_defined,545,12,,,0.835744,1.020568,0,0.618770667,3.746630667,16.51539001,71,3,0,ENST00000649528,0,ENSG00000114861,,
3,70959179,71198392,-,ENSG00000114861,ENST00000648426,FOXP1,protein_coding,2149,3,2082,,0.975248,0,0,0.325082667,3.746630667,8.676667,71,4,0,ENST00000649528,0,ENSG00000114861,,
3,70959179,70979307,-,ENSG00000114861,ENST00000647829,FOXP1,retained_intron,2231,2,,,0,0,0.265646,0.088548667,3.746630667,2.363421286,71,6,0,ENST00000649528,0,ENSG00000114861,,
2,96593170,96638312,-,ENSG00000114982,ENST00000670907,KANSL3,nonsense_mediated_decay,5310,6,2712,,0,0.869716,0,0.289905333,9.867727,2.937914003,21,3,0,ENST00000431828,0,ENSG00000114982,,
2,157736444,157792853,-,ENSG00000115170,ENST00000682690,ACVR1,protein_coding_CDS_not_defined,2634,4,,,1.143065,0,0,0.381021667,2.769682667,13.75687082,26,2,0,ENST00000434821,0,ENSG00000115170,,
2,157736444,157875880,-,ENSG00000115170,ENST00000684348,ACVR1,protein_coding,2921,4,1530,,0.291177,0.254538,0,0.181905,2.769682667,6.567719912,26,3,0,ENST00000434821,0,ENSG00000115170,,
2,157736444,157764235,-,ENSG00000115170,ENST00000684567,ACVR1,protein_coding_CDS_not_defined,1860,4,,,0.161023,0,0,0.053674333,2.769682667,1.937923574,26,4,0,ENST00000434821,0,ENSG00000115170,,
2,162267074,162318684,-,ENSG00000115267,ENST00000649979,IFIH1,protein_coding,3581,2,3078,,1.862071,2.345033,0.607282,1.604795333,1.604795333,100,8,1,1,ENST00000649979,1,ENSG00000115267,,
2,29097705,29174647,+,ENSG00000115295,ENST00000687915,CLIP4,nonsense_mediated_decay,2140,4,1167,,2.645168,3.117432,0,1.920866667,14.19756233,13.52955262,45,3,0,ENST00000320081,0,ENSG00000115295,,
2,29115481,29159668,+,ENSG00000115295,ENST00000688337,CLIP4,retained_intron,3918,4,,,1.696859,1.206167,2.355147,1.752724333,14.19756233,12.34524838,45,4,0,ENST00000320081,0,ENSG00000115295,,
2,29115483,29183805,+,ENSG00000115295,ENST00000693264,CLIP4,protein_coding,4224,4,2118,,0,0,0.70366,0.234553333,14.19756233,1.652067643,45,5,0,ENST00000320081,0,ENSG00000115295,,
2,74529596,74533192,+,ENSG00000115317,ENST00000696725,HTRA2,protein_coding_CDS_not_defined,1467,4,,,2.023838,0,0,0.674612667,7.122226333,9.47193525,17,2,0,ENST00000258080,0,ENSG00000115317,,
2,55307977,55324334,-,ENSG00000115355,ENST00000645485,CCDC88A,retained_intron,3864,2,,,0.262491,0,0,0.087497,2.038089667,4.293088839,68,2,0,ENST00000436346,0,ENSG00000115355,,
2,58159243,58241381,-,ENSG00000115392,ENST00000696341,FANCL,retained_intron,2135,4,,,0,0,1.004712,0.334904,5.232019,6.401047091,156,2,0,ENST00000233741,0,ENSG00000115392,,
2,58159243,58241346,-,ENSG00000115392,ENST00000696338,FANCL,retained_intron,1758,4,,,0.279672,0.470856,0,0.250176,5.232019,4.781634012,156,3,0,ENST00000233741,0,ENSG00000115392,,
2,58159243,58160625,-,ENSG00000115392,ENST00000696568,FANCL,retained_intron,1067,4,,,0.231795,0,0,0.077265,5.232019,1.47677216,156,4,0,ENST00000233741,0,ENSG00000115392,,
2,58159243,58241325,-,ENSG00000115392,ENST00000696314,FANCL,nonsense_mediated_decay,1534,4,819,,0.109081,0,0,0.036360333,5.232019,0.694957976,156,6,0,ENST00000233741,0,ENSG00000115392,,
2,10571644,10609350,-,ENSG00000115761,ENST00000695474,NOL10,protein_coding_CDS_not_defined,2647,4,,,0,1.958945,0.953177,0.970707333,2.671627667,36.33393026,22,2,0,ENST00000381685,0,ENSG00000115761,,
2,10633805,10689958,-,ENSG00000115761,ENST00000695480,NOL10,protein_coding_CDS_not_defined,1727,4,,,0,0.296502,0,0.098834,2.671627667,3.699392742,22,3,0,ENST00000381685,0,ENSG00000115761,,
2,131105336,131149845,+,ENSG00000115762,ENST00000693505,PLEKHB2,protein_coding,3812,4,669,,27.233727,23.831505,56.351151,35.805461,36.01818,99.40941214,12,1,1,ENST00000693505,1,ENSG00000115762,,
2,135052265,135155215,+,ENSG00000115839,ENST00000689880,RAB3GAP1,retained_intron,3647,4,,,0,6.118021,0,2.039340333,6.654477667,30.64613686,25,2,0,ENST00000264158,0,ENSG00000115839,,
2,135052292,135062781,+,ENSG00000115839,ENST00000686403,RAB3GAP1,protein_coding_CDS_not_defined,2666,4,,,1.490072,0,0,0.496690667,6.654477667,7.464006817,25,4,0,ENST00000264158,0,ENSG00000115839,,
2,135148814,135155215,+,ENSG00000115839,ENST00000687630,RAB3GAP1,retained_intron,3260,4,,,0,0.936017,0,0.312005667,6.654477667,4.688657507,25,5,0,ENST00000264158,0,ENSG00000115839,,
2,174559572,174597804,-,ENSG00000115935,ENST00000679041,WIPF1,protein_coding,4727,4,1512,,2.065284,2.384625,0,1.483303,1.483303,100,26,1,1,ENST00000679041,1,ENSG00000115935,,
2,177221318,177264707,-,ENSG00000116044,ENST00000699220,NFE2L2,protein_coding,2040,4,708,,0,0,0.212633,0.070877667,52.08189033,0.13608889,65,3,0,ENST00000397062,0,ENSG00000116044,,
2,47783145,47798423,+,ENSG00000116062,ENST00000700001,MSH6,retained_intron,3059,4,,,0.104385,0,0,0.034795,17.81457367,0.195317613,26,2,0,ENST00000234420,0,ENSG00000116062,,
2,222567022,222569546,-,ENSG00000116120,ENST00000568928,FARSB,protein_coding_CDS_not_defined,1079,3,,,0,0.455909,0,0.151969667,11.01870433,1.379197246,2,2,0,ENST00000281828,0,ENSG00000116120,,
1,220647962,220664358,+,ENSG00000116141,ENST00000677074,MARK1,retained_intron,5768,4,,,0,0,2.413507,0.804502333,1.638842,49.08968243,18,1,0,ENST00000366917,0,ENSG00000116141,,
1,220629416,220637068,+,ENSG00000116141,ENST00000677551,MARK1,retained_intron,3222,4,,,0,0.61777,0,0.205923333,1.638842,12.56517305,18,3,0,ENST00000366917,0,ENSG00000116141,,
1,3837816,3857211,-,ENSG00000116198,ENST00000675520,CEP104,retained_intron,2376,4,,,2.717423,0.55004,0,1.089154333,6.702407333,16.25019607,26,2,0,ENST00000378230,0,ENSG00000116198,,
1,3846577,3857211,-,ENSG00000116198,ENST00000676046,CEP104,retained_intron,1661,4,,,0.600993,0.621527,0,0.407506667,6.702407333,6.080004488,26,3,0,ENST00000378230,0,ENSG00000116198,,
1,3813579,3857211,-,ENSG00000116198,ENST00000675677,CEP104,protein_coding,6233,4,2580,,0,0,0.497941,0.165980333,6.702407333,2.476428619,26,4,0,ENST00000378230,0,ENSG00000116198,,
1,109616620,109618316,+,ENSG00000116337,ENST00000673915,AMPD2,protein_coding_CDS_not_defined,2221,4,,,0.082886,0,0.156075,0.079653667,7.110857333,1.120169664,56,3,0,ENST00000528667,0,ENSG00000116337,,
1,29147743,29181880,-,ENSG00000116350,ENST00000691479,SRSF4,nonsense_mediated_decay,2952,4,483,,0.404645,0.534025,0,0.31289,25.38768333,1.232448018,8,2,0,ENST00000373795,0,ENSG00000116350,,
1,184713523,184754867,-,ENSG00000116406,ENST00000689946,EDEM3,retained_intron,4956,4,,,0.801707,0,0,0.267235667,0.267235667,100,18,1,0,ENST00000318130,0,ENSG00000116406,,
1,111619777,111716668,+,ENSG00000116473,ENST00000687939,RAP1A,protein_coding,5101,4,555,,1.662279,3.455642,1.377948,2.165289667,6.021918,35.95681088,4,2,0,ENST00000369709,0,ENSG00000116473,,
1,155946851,155991212,-,ENSG00000116584,ENST00000673475,ARHGEF2,protein_coding,4727,2,3390,,6.305444,6.064477,0,4.123307,15.20396533,27.11994476,21,2,0,ENST00000361247,0,ENSG00000116584,,
1,12000452,12013503,+,ENSG00000116688,ENST00000675404,MFN2,retained_intron,4447,4,,,2.416532,0,0,0.805510667,18.68323367,4.311409262,33,2,0,ENST00000235329,0,ENSG00000116688,,
1,12006768,12013500,+,ENSG00000116688,ENST00000676295,MFN2,protein_coding_CDS_not_defined,2622,4,,,0,0.547811,0,0.182603667,18.68323367,0.977366498,33,3,0,ENST00000235329,0,ENSG00000116688,,
1,183472478,183554191,+,ENSG00000116698,ENST00000688051,SMG7,protein_coding,5946,4,3564,,0,16.212448,13.697867,9.970105,12.25425033,81.36038296,16,1,1,ENST00000688051,1,ENSG00000116698,,
1,70231548,70252001,+,ENSG00000116754,ENST00000690370,SRSF11,retained_intron,3034,4,,,0,6.558069,0,2.186023,17.83018,12.26024078,18,4,0,ENST00000370949,0,ENSG00000116754,,
1,236898523,236921278,+,ENSG00000116984,ENST00000652483,MTR,protein_coding_CDS_not_defined,1362,2,,,0.126345,0,0,0.042115,0.042115,100,17,1,0,ENST00000366577,0,ENSG00000116984,,
1,232397965,232630109,-,ENSG00000116991,ENST00000675407,SIPA1L2,protein_coding,6912,4,5115,,1.462081,0,0,0.487360333,0.558924,87.19617217,11,1,1,ENST00000674635,0,ENSG00000116991,,
1,243499724,243850243,-,ENSG00000117020,ENST00000673466,AKT3,protein_coding,7281,2,1440,,4.404559,0,14.204506,6.203021667,6.203021667,100,22,1,1,ENST00000673466,1,ENSG00000117020,,
1,202727404,202808049,-,ENSG00000117139,ENST00000649542,KDM5B,protein_coding_CDS_not_defined,6149,3,,,44.837082,48.476692,0,31.10459133,53.47212667,58.1697293,41,1,0,ENST00000367265,0,ENSG00000117139,,
1,207782731,207788337,+,ENSG00000117335,ENST00000695787,CD46,retained_intron,5095,4,,,0.93436,0,0,0.311453333,10.43918867,2.983501336,33,2,0,ENST00000367042,0,ENSG00000117335,,
1,42926156,42931769,-,ENSG00000117394,ENST00000676254,SLC2A1,retained_intron,2795,4,,,0,0,0.876143,0.292047667,12.20712467,2.392436177,16,2,0,ENST00000426263,0,ENSG00000117394,,
1,96721777,96815049,+,ENSG00000117569,ENST00000674951,PTBP2,protein_coding,3321,4,1596,,14.981648,0,7.838314,7.606654,20.24962833,37.56441291,24,2,0,ENST00000674951,1,ENSG00000117569,,
1,96721777,96787344,+,ENSG00000117569,ENST00000706595,PTBP2,retained_intron,3075,1,,,0,1.324387,0.483755,0.602714,20.24962833,2.976420061,24,4,0,ENST00000674951,0,ENSG00000117569,,
1,173824653,173858546,+,ENSG00000117593,ENST00000649689,DARS2,protein_coding,3336,2,1938,,3.321848,3.016063,1.666718,2.668209667,2.877540667,92.72535042,13,1,1,ENST00000649689,1,ENSG00000117593,,
1,173824653,173858400,+,ENSG00000117593,ENST00000648807,DARS2,protein_coding,3057,7,1785,,0,0.26709,0.186222,0.151104,2.877540667,5.251150809,13,2,0,ENST00000649689,0,ENSG00000117593,,
1,173824653,173858389,+,ENSG00000117593,ENST00000648960,DARS2,protein_coding,2716,7,1455,,0,0.174681,0,0.058227,2.877540667,2.02349877,13,3,0,ENST00000649689,0,ENSG00000117593,,
7,158730993,158829628,-,ENSG00000117868,ENST00000652148,ESYT2,protein_coding,5957,5,2682,,0,0,1.277574,0.425858,6.060476,7.026807795,6,2,0,ENST00000275418,0,ENSG00000117868,,
19,1206186,1223873,+,ENSG00000118046,ENST00000652231,STK11,protein_coding,2072,5,1215,,52.495926,39.357788,0,30.61790467,52.82767533,57.95807685,9,1,1,ENST00000326873,0,ENSG00000118046,,
11,118437192,118439173,+,ENSG00000118058,ENST00000647638,KMT2A,retained_intron,1982,2,,,0.438628,0.318125,1.331875,0.696209333,0.696209333,100,33,1,0,ENST00000534358,0,ENSG00000118058,,
1,161766564,161959658,+,ENSG00000118217,ENST00000681036,ATF6,protein_coding,3178,4,1815,,0,7.333513,0,2.444504333,7.382673333,33.11137068,21,2,0,ENST00000367942,0,ENSG00000118217,,
1,161766298,161962101,+,ENSG00000118217,ENST00000679853,ATF6,protein_coding,5509,4,2010,,7.296431,0,0,2.432143667,7.382673333,32.94394262,21,3,0,ENST00000367942,0,ENSG00000118217,,
18,31557010,31598833,+,ENSG00000118271,ENST00000649620,TTR,protein_coding,825,2,444,,0,0.554353,0,0.184784333,24.26560267,0.76150729,7,2,0,ENST00000237014,0,ENSG00000118271,,
